item,name,sentence_intro,sentence_guess,sentence_outcome,question,disjunction_type,condition,type,file_name_intro,file_name_guess,file_name_outcome,
1,st1,Laura decided to start a garden.,Her daughter makes a guess: She will plant a peach or an apple tree.,Here's what happened: She planted both.,Was the guess right?,simplex,both,target,st1.intro.JPG,guess.jpg,st1.both.JPG,
2,st2,Next week will be Rorys birthday.,Her cousin makes a guess: She will bring her flowers or balloons.,Here's what happened: She brought both.,Was the guess right?,simplex,both,target,st2.intro.JPG,guess.jpg,st2.both.JPG,
3,st3,Joan wants to build something for her garden.,Her partner makes a guess: She will build a table or a chair.,Here's what happened: She built both.,Was the guess right?,simplex,both,target,st3.intro.JPG,guess.jpg,st3.both.JPG,
4,ct1,"Jen is going to a wedding, where the theme is blue.",Her sister makes a guess: She will wear either the blue dress or the blue shoes.,Here's what happened: She wore both.,Was the guess right?,complex,both,target,ct1.intro.JPG,guess.jpg,ct1.both.JPG,
5,ct2,John is going to the market.,His roommate makes a guess: John will buy either an eggplant or a pumpkin.,Here's what happened: John bought both.,Was the guess right?,complex,both,target,ct2.intro.JPG,guess.jpg,ct2.both.JPG,
6,ct3,Lara is invited to a gala and needs to decide what to wear.,Her mother makes a guess: Lara will wear either a necklace or a hat.,Here's what happened: She wore both.,Was the guess right?,complex,both,target,ct3.intro.JPG,guess.jpg,ct3.both.JPG,
7,sc1,Mark is organizing an office party.,His colleague makes a guess: John or Mary will come to the party.,Here's what happened: Only John came.,Was the guess right?,simplex,only one,target,sc1.intro.JPG,guess.jpg,sc1.one.JPG,
8,sc2,Sofie rememberd that it is her turn to clean the apartment.,Her roommate makes a guess: Sofie will clean the kitchen or the bathroom.,Here's what happened: Sofie only cleaned the bathroom.,Was the guess right?,simplex,only one,target,sc2.intro.JPG,guess.jpg,sc2.one.JPG,
9,sc3,Mike got a train and an airplane for his birthday.,His grandma makes a guess: Mike will play with the train or the airplane.,Here's what happened: He only played with the airplane.,Was the guess right?,simplex,only one,target,sc3.intro.JPG,guess.jpg,sc3.one.JPG,
10,cc1,"Tonight, Alex is cooking dinner for his mother.",His sister makes a guess: Alex will cook either pizza or pasta.,Here's what happened: Alex cooked pasta.,Was the guess right?,complex,only one,target,cc1.intro.JPG,guess.jpg,cc1.one.JPG,
11,cc2,John has a day off.,His best friend makes a guess: John will either knit or paint.,Here's what happened: John only knitted.,Was the guess right?,complex,only one,target,cc2.intro.JPG,guess.jpg,cc2.one.JPG,
12,cc3,Mike is going for a walk.,His sister makes a guess: He will either put on a hat or a scarf.,Here's what happened: He only put on a scarf.,Was the guess right?,complex,only one,target,cc3.intro.JPG,guess.jpg,cc3.one.JPG,
13,f1,Mary wants to eat something.,Her father makes a guess: Mary will eat some of the pasta.,Here's what happened: Mary ate only ice-cream.,Was the guess right?,none,wrong,filler,f1.intro.JPG,guess.jpg,f1.none.JPG,
14,f2,The baby woke up from a nap.,The babysitter makes a guess: The baby will play with all of his toys.,Here's what happened: The baby only played with the train and the airplane.,Was the guess right?,some,wrong,filler,f2.intro.JPG,guess.jpg,f2.some.JPG,
15,f3,It is Anas first day of school.,Her mom makes a guess: All of the children will bring a flower.,Here's what happened: All the children brought flowers and baloons.,Was the guess right?,all,right,filler,f3.intro.JPG,guess.jpg,f3.all.JPG,
16,f4,It is Joans party tonight.,Her friend makes a guess: Some of the guests will wear birthday hats.,Here's what happened: They all wore birthday hats.,Was the guess right?,all,either,filler,f4.intro.JPG,guess.jpg,f4.all.JPG,
17,f5,There is a storm tonight.,The neighbor makes a guess: All of the trees will fall down.,Here's what happened: All the trees fell down.,Was the guess right?,all,right,filler,f5.intro.JPG,guess.jpg,f5.all.JPG,
18,f6,The village is having a fair.,My friend makes a guess: All of the balloons will be blue.,Here's what happened: The balloons were red!,Was the guess right?,none,wrong,filler,f6.intro.JPG,guess.jpg,f6.none.JPG,
19,f7,There is a theater premiere tonight.,The director makes a guess: Some of the actresses will be wearing hats.,Here's what happened: Only some of the actresses were wearing hats.,Was the guess right?,some,right,filler,f7.intro.JPG,guess.jpg,f7.some.JPG,
20,f8,Maxime finished gardening for today.,Her neighbour makes a guess: She will put some of the gardening tools back in the shed.,Here's what happened: She put everything in the shed.,Was the guess right?,all,either,filler,f8.intro.JPG,guess.jpg,f8.all.JPG,
