randomization1,item,name,sentence_intro,sentence_guess1,sentence_guess2,sentence_outcome1,sentence_outcome2,question,disjunction_type,condition,type,file_name_intro,file_name_guess,file_name_outcome,
3,17,f5,There is a storm tonight.,The neighbor makes a guess:,All of the trees will fall down.',Here's what happened:,All the trees fell down.,Was the guess right?,all,right,filler,https://i.imgur.com/ekg3dvE.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/5PDvFZ7.jpg,
4,9,sc3,Mike got a train and an airplane for his birthday.,His grandma makes a guess:,Mike will play with the train or the airplane.',Here's what happened:,He only played with the airplane.,Was the guess right?,simplex,only one,target,https://i.imgur.com/oV1N8gF.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/g750pPU.jpg,
5,3,st3,Joan wants to build something for her garden.,Her partner makes a guess:,Joan will build a table or a chair.',Here's what happened:,She built both.,Was the guess right?,simplex,both,target,https://i.imgur.com/h9Lh64y.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/joGJ4mv.jpg,
6,13,f1,Mary wants to eat something.,Her father makes a guess:,Mary will eat some of the pasta.',Here's what happened:,She only ate ice-cream.,Was the guess right?,none,wrong,filler,https://i.imgur.com/veU443S.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/mgqJX2J.jpg,
7,12,cc3,Mike is going for a walk.,His sister makes a guess:,Mike will either put on a hat or a scarf.',Here's what happened:,He only put on a scarf.,Was the guess right?,complex,only one,target,https://i.imgur.com/0y8KTWF.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/MI6h3HD.jpg,
8,6,ct3,Lara is invited to a gala and needs to decide what to wear.,Her aunt makes a guess:,Lara will wear either a necklace or a hat.',Here's what happened:,She wore both.,Was the guess right?,complex,both,target,https://i.imgur.com/MrBvA1f.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/0i7tATb.jpg,
9,10,cc1,"Tonight, Alex is cooking dinner for his mother.",His sister makes a guess:,Alex will cook either pizza or pasta.',Here's what happened:,He cooked pasta.,Was the guess right?,complex,only one,target,https://i.imgur.com/4UKNBuJ.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/QhI4uWD.jpg,
10,2,st2,Next week will be Rory’s birthday.,Her cousin makes a guess:,Rory will bring her flowers or balloons.',Here's what happened:,She brought both.,Was the guess right?,simplex,both,target,https://i.imgur.com/zAHZbVz.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/Lj4lLba.jpg,
11,11,cc2,Gabe has a day off.,His best friend makes a guess:,Gabe will either knit or paint.',Here's what happened:,He only knitted.,Was the guess right?,complex,only one,target,https://i.imgur.com/vfRxBfL.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/ArUVdlb.jpg,
12,15,f3,It’s Ana’s first day of school. ,Her mom makes a guess:,All of the children will bring a flower.',Here's what happened:,All the children brought flowers and baloons.,Was the guess right?,all,right,filler,https://i.imgur.com/sMGaH2o.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/UhaKc1g.jpg,
13,1,st1,Laura decided to start a garden.,Her sister makes a guess:,Laura will plant a peach or an apple tree.',Here's what happened: ,She planted both.,Was the guess right?,simplex,both,target,https://i.imgur.com/NIphmXV.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/HTmJuZA.jpg,
14,18,f6,The village is having a fair.,My friend makes a guess:,All of the balloons will be blue.',Here's what happened:,The balloons were red!,Was the guess right?,none,wrong,filler,https://i.imgur.com/VPjlDLY.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/emCHyD9.jpg,
15,20,f8,Maria finished gardening for today.,Her neighbour makes a guess:,Maria will put some of the tools back in the shed.',Here's what happened:,She put everything in the shed.,Was the guess right?,all,either,filler,https://i.imgur.com/ssyd1Gy.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/PytS2R0.jpg,
16,8,sc2,Sofie rememberd that it’s her turn to clean the apartment.,Her roommate makes a guess:,Sofie will clean the kitchen or the bathroom.',Here's what happened:,She only cleaned the bathroom.,Was the guess right?,simplex,only one,target,https://i.imgur.com/ynbSOjO.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/0G1CzBD.jpg,
17,5,ct2,John is going to the market.,His roommate makes a guess.,John will buy either an eggplant or a pumpkin.',Here's what happened:,John bought both. ,Was the guess right?,complex,both,target,https://i.imgur.com/NZd5Sb7.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/TRmmu38.jpg,
18,19,f7,There’s a theater premiere tonight.,The director makes a guess:,Some of the actresses will be wearing hats.',Here's what happened:,Only some of the actresses were wearing hats.,Was the guess right?,some,right,filler,https://i.imgur.com/cCWSUrf.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/JgY4KVA.jpg,
19,7,sc1,Mark is organizing an office party.,His colleague makes a guess:,John or Mary will come to the party.',Here's what happened:,Only John came.,Was the guess right?,simplex,only one,target,https://i.imgur.com/2JCkajI.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/iWLfkcX.jpg,
20,14,f2,Benny woke up from a nap.,The babysitter makes a guess:,Benny will play with all of his toys.',Here's what happened:,He only played with the train and the airplane.,Was the guess right?,some,wrong,filler,https://i.imgur.com/xBBrOBm.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/VWibU6W.jpg,
21,16,f4,It’s Joan’s party tonight.,Her friend makes a guess:,Some of the guests will wear birthday hats.',Here's what happened:,They all wore birthday hats.,Was the guess right?,all,either,filler,https://i.imgur.com/2zP50Ae.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/QFqZw4p.jpg,
22,4,ct1,"Jen is going to a wedding, where the theme is blue.",Her sister makes a guess:,Jen will wear either the blue dress or the blue shoes.',Here's what happened:,She wore both.,Was the guess right?,complex,both,target,https://i.imgur.com/6x0YWqd.jpg,https://i.imgur.com/64hn92w.jpg,https://i.imgur.com/zrOKuhE.jpg,
